"Latitude,Longitude"
"22.45046,77.4665"
"23.5,81.5"
"24.31365,79.11806"
"21.23742,76.22558"
"23.13663,79.66402"
"23.5,76.25"
"24.18817,75.63903"
"25.8,77"
"25.42378,77.66223"
"23.40673,76.7098"
"24.25,82"
"23.4871,80.10404"
"24.79497,81.152"
"24.96667,75.3"
"24.19973,82.67535"
"24.83648,81.36448"
"24.10313,77.69055"
"24.01473,75.35324"
"24.98181,81.69558"
"22.70055,78.19522"
"23.13812,77.93404"
"23.94667,76.08825"
"23.71979,75.38514"
"23.56949,76.72821"
"23.33383,76.04253"
"25.99401,78.28322"
"23.3962,79.53947"
"24.98207,81.64194"
"23.00959,74.57747"
"24.74327,78.83061"
"21.68522,79.71906"
"23.07434,78.51108"
"23.41667,75.5"
"21.97102,80.46625"
"23.52473,80.83716"
"23.52874,80.83054"
"26.51056,78.93667"
"23.33794,75.55931"
"23.91667,78"
"21.76184,80.04301"
